ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
708,33921.40244299876,155888760112.71457,240029637.45904058,-923067196.0009882,0,878875314.6762803,870458022320.2653
709,33904.287656280794,155891513756.92618,241175590.50705817,-922836937.9972285,0,873018215.9397712,870460672786.2853
710,33914.41243890028,155890939844.7901,241169336.17502445,-922236331.1193129,0,876676031.7002347,870460288766.9523
711,33917.59822357674,155889393335.59457,241444406.52003664,-922199806.6020671,0,880734612.7941256,870459498515.6593
712,33890.92050003059,155889273428.47852,240942475.74051842,-921684583.5313333,0,865154602.8389376,870459029199.2543
713,33908.77922987314,155888930734.4883,240758493.34360412,-921266104.9234347,0,868379732.1735432,870458660105.0863
714,33914.730480645354,155890013632.09894,241230986.77470833,-919382446.5958565,0,875225394.4817487,870459694911.4891
715,33917.88014466081,155889899860.4885,242017819.01741427,-921474457.2994794,0,880545811.1798941,870460252225.4302
716,33894.704485063725,155889641607.3754,243584545.00901988,-921092997.7243103,0,872749470.5487226,870461271410.1222
717,33892.36968380379,155888895776.98285,242068991.00536832,-920888334.2305651,0,864128293.9741875,870459631045.0287
718,33925.06329501364,155890547918.36295,241170807.14713705,-921502381.9323273,0,876907320.226537,870460024457.0847
719,33900.674201037,155890005138.99176,241217376.24318412,-922190247.1720482,0,864474708.7164999,870459718451.4596
720,33913.60744274931,155890743988.20642,242469709.37225306,-921368939.6132486,0,874980876.8846871,870461140714.7694
721,33922.249871351385,155889332788.08728,241759435.8218508,-921904400.4468564,0,876909874.6077486,870459693158.217
722,33920.97950873723,155889256602.15268,243079839.38376555,-919772598.4767845,0,876135244.1601228,870460619795.8231
723,33905.55811277862,155890773793.16925,239343022.33259898,-921073784.1365318,0,867171241.6908942,870458769040.8839
724,33904.741334735365,155890037255.40503,241488090.91856363,-920993279.9929932,0,870536175.3776976,870459929192.1833
725,33922.70815731294,155891015634.70026,240548880.4744737,-922687995.8340085,0,876156884.9797086,870459871857.9753
726,33914.66594424075,155890081196.356,240444505.5968874,-922034848.3815768,0,877537255.7679695,870459178342.2336
727,33909.95848197533,155890645696.34378,239525621.267586,-922169768.7016925,0,871276485.7516897,870458843909.6232
728,33902.04382545818,155890232919.16296,241244325.64066836,-921375645.2888246,0,869424930.2186192,870459874575.8582
729,33921.92102571057,155889448057.58902,242431942.12442356,-922978099.6715341,0,878971624.9112748,870460297634.1687
730,33910.580233537796,155890688254.21872,239204514.9426975,-921835913.8137406,0,866030390.1549219,870458620922.4528
731,33895.58263281358,155889572126.1876,241572436.68316376,-920377206.7758934,0,872479596.7451761,870459683150.6631
732,33911.151921132914,155890511101.03482,241875935.26549217,-921038385.3727721,0,876348213.4183031,870460532501.2761
733,33914.800846854414,155888684644.8008,240050883.08963823,-922107513.49452,0,873383335.7839447,870457974391.9583
734,33909.49163161312,155888642953.9381,241651591.7609447,-921701611.1229146,0,873146156.3157637,870459162286.4264
735,33907.879161535304,155890125038.3694,242781938.34534106,-919530135.9175365,0,872873228.6577349,870460951420.1614
736,33916.28807874635,155889195282.68173,241589221.09743515,-922472795.8544103,0,876110871.1124973,870459484420.4218
737,33894.21055050602,155889000171.35907,240293380.0091068,-921518547.5312225,0,862994089.2727646,870458353746.2026
738,33919.51432081367,155890296466.69797,240225548.04300845,-922106705.2079555,0,876586297.3135824,870459151307.1929
739,33920.108829733734,155890606846.7716,241920758.20205152,-920917447.1132896,0,876634836.4164472,870460625518.546
740,33920.89681024591,155889990456.01273,240533805.15973273,-922002400.5375525,0,876507500.719534,870459186226.7761
741,33913.19915622141,155890877992.07062,242664646.9779717,-920964625.0475692,0,876212652.6500622,870461371323.9214
742,33891.84280420569,155889508223.5064,240821384.13168895,-922147396.6524348,0,868511766.2518426,870459095626.9114
743,33918.776372430075,155890791256.20346,239811975.7210039,-923453796.9008634,0,873345068.388021,870459174401.0776
744,33904.5494604698,155888530557.4375,241398413.59965935,-922676330.7811027,0,872045746.2944196,870458911395.4558
745,33906.095329105716,155889001076.8669,239336479.01580027,-921875000.4927853,0,869818381.7499756,870457631209.2042
746,33915.933163026995,155888294342.74768,241702672.59144112,-922125198.5143075,0,876079188.6308078,870458982245.2654
